net,length_um
net340,131.195µm
net38,130.46µm
net612,130.265µm
net240,129.86µm
net587,129.71µm
_2552_,129.64µm
_2068_,129.6µm
net622,129.59µm
net653,129.53µm
net104,129.48µm
net441,129.365µm
net408,128.86µm
net242,128.8µm
net394,128.56µm
_1944_,128.1µm
net260,128.02µm
net134,127.99µm
net233,127.89µm
_2338_,126.99µm
net224,126.46µm
net581,126.46µm
net428,126.38µm
net1,126.28µm
net662,125.99µm
net44,125.76µm
_2730_,125.45µm
net79,124.86µm
net11,124.2µm
net446,124.13µm
net592,124.08µm
net655,123.6µm
_2158_,123.47µm
net253,123.46µm
net689,123.28µm
net265,123µm
net173,122.96µm
net55,122.58µm
net650,122.34µm
net523,122.12µm
net521,122.09µm
net645,121.44µm
_2405_,120.64µm
net657,120.63µm
net254,119.96µm
_1948_,119.91µm
net263,119.855µm
net21,119.4µm
net445,119.16µm
net577,119.03µm
net181,118.94µm
_2512_,118.53µm
net238,117.9µm
net700,117.76µm
net610,117.735µm
net374,117.68µm
_2299_,117µm
_2104_,116.82µm
net276,116.76µm
net290,116.6µm
net297,116.175µm
net259,116.12µm
net373,115.78µm
net410,115.69µm
net387,115.34µm
net543,115.06µm
net317,114.88µm
net433,114.85µm
_2118_,114.62µm
_2797_,114.56µm
net422,114.44µm
net524,113.94µm
_1926_,113.77µm
net596,113.38µm
_2750_,113.35µm
net145,113.16µm
net429,112.98µm
net460,112.92µm
net664,112.73µm
net368,112.61µm
net234,112.37µm
net346,112.28µm
net380,111.28µm
net502,111.24µm
net575,111.1µm
net629,110.86µm
_2740_,110.82µm
net424,110.805µm
net318,110.18µm
net90,110.06µm
net194,109.92µm
net361,109.48µm
net425,109.05µm
_2386_,108.985µm
net420,108.875µm
net381,108.6µm
_2178_,108.065µm
net83,108µm
net448,107.96µm
_2477_,107.74µm
net450,107.68µm
net466,107.63µm
_2226_,107.58µm
_2692_,107.52µm
net362,107.18µm
_2191_,106.99µm
net593,106.96µm
_2567_,106.93µm
_2200_,106.85µm
net438,106.775µm
_2078_,106.68µm
net355,106.545µm
net308,106.33µm
net314,106.3µm
_2420_,105.9µm
net501,105.83µm
net417,105.38µm
net166,105.33µm
net324,105.08µm
net310,104.93µm
net209,104.57µm
net376,104.1µm
_2235_,103.76µm
_1973_,103.4µm
net167,103.26µm
net136,103.19µm
net82,102.78µm
