net,length_um
_0353_,118.46
clknet_0_clk,118.28
_1282_,117.8
_1883_,117.71
_1805_,117.605
net65,117.28
_2053_,117.185
_1482_,117.06
_0164_,116.91
_0084_,116.78
net36,116.76
net68,116.66
_1869_,116.41
_0857_,116.1
_0449_,115.86
_1308_,115.14
_0861_,114.68
_1841_,114.545
_1018_,114.17
_0870_,113.1
net118,112.96
_0399_,112.44
_1508_,112.395
_1620_,112.24
_0064_,112.195
net62,112.09
_1751_,111.94
_1305_,111.82
_1899_,111.52
_0397_,111.36
_0796_,111.08
_1309_,111
_0030_,110.48
_0024_,109.84
_1622_,109.64
_0592_,109.12
_1486_,109
_0781_,108.5
_1711_,108.44
_1461_,108.125
_1430_,108
_0529_,107.79
_0822_,107.46
_1643_,107.32
_1959_,107.32
_0038_,107.09
_1551_,106.68
_1664_,106.48
_1490_,106.42
net34,105.88
_2054_,105.87
net51,105.54
_1871_,105.12
_0939_,105.02
_1537_,105.01
_0017_,104.095
_1459_,103.94
_1934_,103.89
_0048_,103.7
_1868_,103.34
_1948_,103.22
_1029_,102.255
net42,102.22
_1180_,101.77
_0477_,101.42
_0935_,101.2
_0254_,100.74
_1818_,100.44
net40,99.63
net117,99.32
_1287_,99.22
_1956_,99.185
_0194_,98.88
_0073_,98.79
_1822_,98.58
_1729_,98.14
_1465_,98.1
_1558_,98.02
clknet_2_0__leaf_clk,97.9
_1907_,97.875
net19,97.43
_0268_,97.07
_1323_,96.77
_1825_,96.54
_0631_,96.34
_1625_,96.3
_0137_,96.19
_1612_,96.08
_1740_,95.97
_1369_,95.58
net35,95.5
_1536_,95.07
_1463_,94.1
_0065_,94.03
_1529_,93.65
_1715_,93.19
_0919_,93.06
_0771_,93.02
_1336_,92.8
_1685_,92.8
_2022_,92.78
_1452_,92.605
_1480_,92.56
_1979_,92.5
_1891_,92.45
_1009_,92.28
_0672_,91.89
_0426_,91.76
_1853_,91.585
_0719_,91.475
_0877_,91.39
net44,91.36
_1996_,90.92
_0223_,90.84
_0247_,90.8
_1713_,90.51
_1709_,90.31
_0347_,90.1
_1804_,89.58
_1114_,89.16
_0540_,88.98
_1538_,88.71
_0384_,88.685
_1191_,88.2
net54,88.07
_1879_,87.96
_0890_,87.92
_1906_,87.51
_0345_,87.45
_0169_,86.74
_1397_,86.72
_1908_,86.3
_0826_,86.12
_1737_,86.03
net57,85.02
_0093_,84.79
_0085_,84.78
_0375_,84.45
_0676_,84.33
_1741_,83.44
_0685_,83.28
net122,82.81
_2057_,82.73
_0925_,82.44
_0922_,82.4
net43,82.28
_1615_,81.81
_1088_,81.74
_0275_,81.69
_1128_,81.62
_1613_,80.72
_0039_,80.32
_1280_,80.3
_1264_,80.22
_1630_,80.14
_1324_,80.06
_0443_,79.85
_1605_,79.7
_0900_,79.15
_1302_,78.97
_0499_,78.86
net123,78.72
_1665_,78.28
clknet_2_1__leaf_clk,78.16
_1698_,77.98
_1705_,77.94
_1032_,77.84
_1295_,77.71
net69,77.55
_1683_,77.24
_0453_,76.6
_0995_,76.52
_0036_,76.26
_1673_,76.04
net27,76.01
_1584_,75.85
_0393_,75.715
_1917_,75.68
_2020_,75.26
net7,75.14
_0067_,75.06
clknet_2_2__leaf_clk,74.98
_0828_,74.74
clknet_2_3__leaf_clk,74.68
_0897_,74.58
_2087_,74.5
_1131_,74.48
_1875_,74.21
net41,74.14
_0162_,74.12
_0369_,73.92
_1164_,73.86
_1284_,73.84
_0434_,73.82
_0729_,73.72
_0976_,73.54
_1087_,73
_0682_,72.98
_0126_,72.51
_0965_,72.415
_1434_,72.285
_0195_,72.23
_0779_,72.08
_1966_,71.7
_1116_,71.52
_0280_,71.12
_1464_,71.12
_0297_,71.06
_0450_,70.925
_1800_,70.92
_1060_,70.9
_0690_,70.6
_1347_,70.41
_0395_,70.24
_1034_,69.96
_0046_,69.85
_0104_,69.84
_0088_,69.77
_2089_,69.6
_1962_,69.5
_0209_,69
_1432_,68.86
_0648_,68.8
_2047_,68.72
_1243_,68.5
_0551_,67.79
_1845_,67.76
_0762_,67.62
_0639_,67.6
_1730_,67.4
_1725_,67.34
_0600_,67.28
_1176_,67.26
_1765_,67.06
_1815_,66.96
_1496_,66.835
_1661_,66.74
_0731_,66.64
_0737_,66.48
net119,66.47
_1297_,66.34
_1953_,66.32
_1880_,66.03
_0605_,65.96
_1061_,65.86
_0496_,65.8
_1544_,65.56
_0455_,65.38
_1171_,65.04
_1020_,64.9
_0427_,64.73
_1304_,64.29
_1881_,64.28
_1518_,64.08
_1071_,63.82
_0911_,63.59
_0697_,63.49
_0599_,63.12
_0438_,63.1
_0931_,62.6
_1436_,62.32
_2084_,62.22
_0544_,62.2
_1097_,62.18
_0632_,61.98
_1053_,61.84
clk,61.69
_0662_,61.64
_0148_,61.56
_0150_,61.5
_0117_,61.16
net120,61.1
_0797_,61.09
_0735_,61.005
_2058_,60.92
_0312_,60.69
_0314_,60.62
_0154_,60.54
_0488_,60.53
_1896_,60.5
_0881_,60.32
_1854_,59.84
_0382_,59.76
_0610_,59.44
_1852_,59.34
_0533_,59.275
_0901_,59.18
_2085_,59.16
_0872_,59.155
_1991_,58.88
_1915_,58.86
_1502_,58.735
_0594_,58.46
_0008_,58.44
_0582_,57.82
net109,57.82
_1564_,57.78
_1023_,57.64
_1762_,57.38
_0016_,57.22
_0303_,57.14
_1918_,57.13
_1291_,57
_1964_,56.95
_1982_,56.76
net58,56.68
_1312_,56.64
_0159_,56.62
_1149_,56.61
_2088_,56.52
_2044_,56.32
_0143_,56.12
_0888_,56.04
_1364_,56.04
_0118_,56
_0578_,55.98
_2083_,55.94
_1352_,55.82
_0323_,55.79
_0531_,55.77
_0374_,54.52
_0215_,54.47
_2036_,54.44
_0595_,54.36
_1157_,54.04
_0774_,53.78
_1595_,53.6
_0034_,53.58
_0217_,53.14
_1717_,53.06
_0652_,53.04
_1858_,53
_1695_,52.64
net121,52.44
_2069_,51.94
_1839_,51.89
_0170_,51.82
_1856_,51.67
_0360_,51.25
_0114_,51.2
_1569_,51.02
_0146_,50.9
_1893_,50.74
_1548_,50.6
_1905_,50.48
_1524_,50.44
_1971_,50.38
_1079_,50.32
_0855_,50.1
_0110_,49.5
_0501_,49.46
_0683_,49.1
_1299_,49.06
_0734_,48.98
_0190_,48.92
_0541_,48.7
_2006_,48.47
net45,48.42
_0643_,48.34
_0061_,48.26
_0027_,48.1
_1578_,48.1
_1511_,47.74
_1995_,47.68
_0898_,47.64
_0597_,47.61
_0185_,47.58
_2000_,47.5
_2086_,47.4
_1231_,47.36
_1276_,47.1
_0686_,47.05
_1405_,46.98
_0905_,46.94
_0273_,46.91
_1862_,46.73
_2001_,46.69
_1185_,46.68
_0750_,46.56
_0571_,46.42
_1375_,46.4
_1229_,46.38
_1031_,46.28
_1769_,46.26
_0111_,46.23
_1718_,46.16
_0724_,46.06
_0815_,46.06
_0200_,45.96
net26,45.88
_0947_,45.74
_1156_,45.7
_1878_,45.64
_1607_,45.48
_1850_,45.46
_0439_,45.44
_0732_,45.34
_1385_,45.34
_0987_,45.32
_1373_,45.2
_0203_,45.02
_1415_,44.94
_0847_,44.92
net15,44.8
_0641_,44.68
_0681_,44.68
_1416_,44.68
_0736_,44.64
_0580_,44.56
_1980_,44.42
_0253_,44.28
_0489_,44.24
_0355_,44.2
_0626_,44.08
net4,44.06
_0883_,44
_1520_,43.78
_1445_,43.72
_1318_,43.7
_1527_,43.58
_0310_,43.51
_2040_,43.5
_0530_,43.42
net47,43.34
_0054_,43.14
_0082_,43.04
_0546_,42.99
_1371_,42.96
_0712_,42.94
_0165_,42.86
_0378_,42.8
_1310_,42.74
_1361_,42.69
_0798_,42.68
_1104_,42.68
_1503_,42.32
_0591_,42.315
_1189_,42.26
_1708_,42.1
_1895_,42.1
_1221_,42.06
_0042_,41.74
_0813_,41.54
_1984_,41.42
_1846_,41.34
_1209_,41.3
_0564_,41.18
_0553_,41
_0525_,40.8
_0105_,40.78
_0199_,40.78
_1981_,40.62
_1437_,40.58
_1601_,40.58
_0315_,40.48
_0782_,40.33
_0470_,40.23
_0845_,40.1
_0007_,40.06
_0417_,40.02
_0044_,39.9
_0202_,39.88
_1153_,39.84
_0224_,39.83
_0930_,39.68
_1997_,39.68
_0743_,39.5
_0295_,39.46
_0465_,38.78
_1500_,38.73
_0517_,38.7
_1082_,38.6
_0773_,38.54
_1433_,38.5
_2012_,38.5
_1188_,38.44
_0574_,38.4
_1232_,38.38
_1355_,38.3
_0033_,38.255
_0058_,38.25
net124,37.9
_0739_,37.74
_0207_,37.7
_0927_,37.68
_0055_,37.64
_0271_,37.58
_1303_,37.4
_0817_,37.34
_0012_,37.26
_0673_,37.24
_0010_,37.22
_0601_,37.2
_0748_,37.12
_0832_,37.1
_1631_,37.1
_1898_,37.02
_0715_,37
_1755_,37
_0984_,36.94
_1781_,36.86
_1657_,36.84
_0009_,36.82
_0089_,36.82
_1074_,36.56
_1677_,36.52
net48,36.42
_0330_,36.355
_1909_,36.3
_0422_,36.2
_0423_,36.2
_0505_,36.2
_0327_,36.12
_0391_,36.1
_2080_,36.08
_2023_,36
_1320_,35.98
_0867_,35.96
_2077_,35.84
_0116_,35.68
_0458_,35.62
_0887_,35.58
_0679_,35.52
_0486_,35.28
_1603_,35.18
_0338_,35.16
_1162_,35.08
_0237_,35.02
_1168_,35
_1293_,34.72
_1428_,34.64
_0674_,34.6
_0707_,34.595
_1300_,34.54
_0173_,34.5
_0071_,34.46
_1007_,34.42
_1913_,34.42
_0405_,34.4
_0296_,34.34
_0320_,34.3
_0903_,34.04
_0328_,34.02
_1234_,33.98
_0862_,33.88
_1772_,33.74
_0108_,33.64
_0602_,33.6
_0675_,33.355
_0814_,33.34
_1019_,33.34
_0982_,33.22
_0804_,33.14
net56,33.02
_0404_,33
_0811_,32.96
_1345_,32.88
_0692_,32.84
_0654_,32.78
_1003_,32.76
_1516_,32.745
_1691_,32.66
_1639_,32.6
_1002_,32.56
_0523_,32.54
_1286_,32.52
_0141_,32.4
_0759_,32.4
_0689_,32.39
_1298_,32.3
_1759_,32.26
_0216_,32.17
_1381_,32.16
_2065_,32.12
_0622_,31.72
_2081_,31.605
_1193_,31.58
_1146_,31.54
net29,31.54
_0688_,31.52
_1756_,31.435
_1619_,31.42
_1059_,31.36
_1837_,31.34
_0889_,31.22
_1145_,31.16
_1534_,31.16
_0380_,31.1
_0193_,31.02
_0772_,31
_0454_,30.925
_0535_,30.86
_1826_,30.74
net30,30.72
_1753_,30.645
_1083_,30.64
_0420_,30.62
_1483_,30.58
_1466_,30.44
_0020_,30.42
_1484_,30.36
_0371_,30.28
_1207_,30.28
_1920_,30.28
_1833_,30.22
_0794_,29.91
_1736_,29.88
_2082_,29.88
_0555_,29.78
_1703_,29.78
_0406_,29.74
_2021_,29.74
_2059_,29.74
_0492_,29.7
_1285_,29.7
_0343_,29.64
_0949_,29.56
_0252_,29.32
_0191_,29.26
_2091_,29.26
_1143_,29.1
_1974_,28.96
_1957_,28.915
_1125_,28.91
_0946_,28.9
_0853_,28.66
_1404_,28.65
_0677_,28.6
_1886_,28.6
_1387_,28.54
_1098_,28.5
_0611_,28.26
_0941_,28.24
_1377_,28.2
_0793_,28.16
net127,28.06
_1513_,28.04
_0680_,28.02
_0829_,28.02
_1597_,27.87
_1573_,27.84
_1394_,27.78
_0381_,27.76
_0656_,27.72
_0221_,27.7
_1549_,27.44
_0197_,27.36
_0494_,27.3
_0326_,27.16
_1514_,27.16
_1791_,27.14
_0603_,26.855
_1976_,26.74
_1070_,26.66
_1255_,26.58
_0412_,26.56
_0298_,26.52
_1761_,26.48
_2011_,26.44
_1744_,26.32
_1835_,26.3
_0386_,26.24
_1340_,26.08
_0609_,26
_1367_,25.96
_0467_,25.9
_0086_,25.88
net103,25.54
_0518_,25.5
_0370_,25.44
_0852_,25.42
_1517_,25.36
_0250_,25.3
_0265_,25.3
_2039_,25.26
_0863_,25.22
_1738_,25.22
_0040_,25.16
_0665_,25.16
_0362_,25.14
_1457_,25.08
_0567_,25.04
_1860_,25.035
_0547_,24.985
_1307_,24.94
_1626_,24.92
_1142_,24.86
_1334_,24.82
_1159_,24.6
_1072_,24.58
_1319_,24.52
_1532_,24.45
_1565_,24.28
_0754_,24.22
_1392_,24.2
net126,24.14
_0542_,24.1
_0991_,23.96
_2060_,23.88
_0018_,23.82
_0178_,23.82
_0647_,23.78
_0966_,23.78
_1008_,23.6
_1993_,23.52
_2061_,23.44
_1090_,23.34
_0816_,23.32
_1507_,23.32
_0795_,23.315
_1246_,23.26
_1095_,23.22
_0002_,23.2
_1813_,23.2
_2076_,23.1
_1499_,23.08
_0981_,23.04
_1978_,22.98
net95,22.94
_1623_,22.9
_0388_,22.88
_1680_,22.86
_1681_,22.86
_1863_,22.86
_0049_,22.82
_0363_,22.74
_1365_,22.6
_1523_,22.6
_0627_,22.58
_0440_,22.575
net25,22.495
_1226_,22.46
_2079_,22.445
_1546_,22.32
_1512_,22.31
_0229_,22.3
_0459_,22.24
net79,22.24
_2074_,22.16
_0354_,22.06
_1121_,22.04
_0096_,22
_2035_,21.845
_0528_,21.78
_1135_,21.78
_1723_,21.74
_0099_,21.705
_0830_,21.58
_1904_,21.47
_0319_,21.46
_0917_,21.46
net90,21.46
_0790_,21.44
_0476_,21.42
_1281_,21.28
_1363_,21.28
_0598_,21.24
_0740_,21.2
_1746_,21.18
_0401_,21.12
_0446_,21.12
_0871_,21
_1889_,20.86
_1040_,20.8
_0508_,20.58
_0473_,20.56
_1391_,20.56
net5,20.5
_1214_,20.46
_1783_,20.4
net112,20.4
_1870_,20.28
_0481_,20.24
_1526_,20.24
_1787_,20.2
_1399_,20.1
_1093_,20.04
_0990_,20
net94,19.86
_1767_,19.82
_1732_,19.71
_1522_,19.68
_0760_,19.52
_1062_,19.42
_0317_,19.385
_0657_,19.2
_1792_,19.16
_1393_,19.14
_1616_,18.86
_1333_,18.82
_1933_,18.82
_2090_,18.8
_0282_,18.76
_0974_,18.74
_1784_,18.7
_0457_,18.64
net99,18.58
_0548_,18.54
_1410_,18.36
