net,length_um
_1020_,106.2
_0311_,105.91
net87,105.82
_3440_,105.09
_2154_,104.42
net23,104.38
_2856_,104.08
net1,104.06
_3415_,103.94
_1643_,103.68
_3374_,103.56
_1708_,102.88
_1205_,102.38
_1207_,102.22
net88,102.06
_1893_,102.02
_3445_,102.01
_3730_,101.88
_0429_,101.86
_3281_,101.86
net39,101.73
_0201_,101.575
_1829_,101.465
_2528_,101.375
_3389_,101.24
_1343_,101.1
_0595_,100.74
_0723_,100.52
_3308_,100.22
_3371_,100.12
_2424_,100.06
_3408_,100.02
_2929_,99.94
_1352_,99.88
net62,99.4
net7,99.38
_3370_,98.86
_2335_,98.46
_3475_,98.45
_3303_,98.34
_0732_,97.42
net49,97.38
_1980_,96.96
_0191_,96.85
_3108_,96.68
_0282_,96.63
_2275_,96.61
_3443_,96.54
_2592_,96.34
net27,96.18
_3559_,96.09
_3539_,95.9
net4,95.72
_0010_,95.66
_0382_,95.625
_3373_,95.54
_2983_,95.3
_0867_,95.25
_3382_,95.145
_1542_,94.82
_1716_,94.76
_3351_,93.91
_1279_,93.9
_0999_,93.62
_3566_,93.6
_1576_,93.56
_1347_,93.44
_0017_,92.8
_3231_,92.495
_3602_,92.23
_1369_,92.08
_3429_,91.84
_2593_,91.66
net118,91.58
_1293_,91.395
_0975_,91.34
net69,91.16
_2056_,91.1
_0961_,90.91
_0614_,90.79
_3104_,90.43
_1785_,90.09
_3431_,89.26
_3538_,89.03
_1078_,88.52
_0199_,88.44
_3746_,88.125
_3162_,88.1
_3641_,87.42
net55,87.42
_2379_,86.98
_3279_,86.9
_3403_,86.48
_3668_,85.73
_3758_,85.66
_3057_,85.52
_2987_,85.3
_0622_,85.22
_1558_,85.2
_2984_,85.04
net129,84.86
_2247_,84.76
_0942_,84.6
_3446_,84.4
net29,83.84
_3433_,83.5
_1391_,83.035
_1011_,83.02
_0110_,82.92
_0123_,82.8
_1446_,82.78
_0821_,82.58
_1077_,82.38
_1717_,82.22
net50,81.38
_3386_,81.27
_2405_,81.24
_2070_,81.22
_0730_,81.14
_3671_,81.05
_1500_,80.62
_1130_,80.54
_1806_,80.48
_2349_,80.24
_1127_,79.92
_3672_,79.48
_3252_,79.42
_1212_,79.24
_3223_,79.22
_2467_,78.96
_1282_,78.59
_3454_,78.34
_2118_,78.28
_0015_,77.78
_3289_,77.49
_2091_,77.46
_3085_,77.44
_1208_,77.43
_2610_,77.41
net145,77.22
_0340_,76.93
_3260_,76.56
_0525_,76.22
_0931_,76.14
_1645_,75.72
_0122_,75.64
_3241_,75.64
_0393_,75.61
_0113_,75.15
_3191_,75.06
_3441_,74.72
net35,74.54
_2812_,74.18
_3265_,74.16
_3754_,73.98
_3357_,73.85
_3458_,73.74
net140,73.66
_3436_,73.495
_1900_,73.48
_3388_,73.16
_2470_,72.38
_0291_,72.34
_0623_,72.32
_3682_,72.3
_3423_,72.02
_1213_,71.96
_1437_,71.84
_3354_,71.75
_3174_,71.62
_0853_,71.57
net57,71.48
_0855_,71.44
_2518_,71.4
_0243_,71.24
_3533_,70.78
_0854_,70.7
_2322_,70.62
_0101_,70.42
_3253_,70.39
_1695_,70.38
_3728_,70.34
_2276_,70.32
_3482_,70.32
_1696_,70.18
_2673_,70.18
_2178_,70.16
_0039_,69.91
_2668_,69.7
_3290_,69.5
_3658_,69.5
_1975_,69.38
_1877_,69.24
_2429_,69.1
_2469_,69.1
_3112_,69
_0111_,68.76
_1072_,68.76
_0033_,68.58
_3349_,68.5
_0739_,68.22
_2793_,68.1
_2490_,67.9
_2263_,67.86
_3455_,67.68
_1878_,67.5
_1672_,67.28
_0693_,67.24
net64,67.18
_2539_,67.17
_1225_,67.105
net52,66.56
_0392_,66.5
_1646_,66.36
_2359_,66.16
_2410_,66.1
_0416_,65.75
_0049_,65.7
_2667_,65.62
_1348_,65.275
_0826_,65.2
_3397_,65.08
_2430_,64.98
_2069_,64.87
_3273_,64.85
net8,64.805
net56,64.33
_0341_,64.2
_1965_,63.56
B[10],63.5
_3054_,63.44
_1089_,63.4
_0494_,63.28
_1064_,63.08
_0034_,62.98
_0742_,62.88
_0401_,62.86
_3377_,62.84
_2096_,62.765
_1559_,62.68
_0619_,62.66
_0710_,62.63
net91,62.3
_3456_,62.26
net32,62.16
_3457_,61.96
_2360_,61.92
_3842_,61.83
_1985_,61.76
_0448_,61.46
_1852_,61.08
_0590_,60.92
B[2],60.74
_0397_,60.34
_0747_,60.28
_3468_,60.16
_2651_,60.04
_3760_,60.04
_2687_,59.88
_3356_,59.8
_1199_,59.74
_0721_,59.58
_3721_,59.26
_1111_,59.2
_1140_,59.195
_3603_,59.06
_3277_,58.96
_3434_,58.9
_2146_,58.76
_2944_,58.64
_2427_,58.38
_0845_,58.3
_0389_,58.28
_3451_,58.08
_0759_,58.04
_3662_,57.98
_1249_,57.94
_1931_,57.78
_0036_,57.62
net2,57.6
_1245_,57.54
_2871_,57.42
_2496_,57.36
_1734_,56.8
_1961_,56.8
_0738_,56.78
_2579_,56.7
_0364_,56.68
_3612_,56.66
_1443_,56.62
_0976_,56.46
_3380_,56.42
net102,56.4
_3493_,56.2
_2133_,55.96
_2116_,55.92
_3425_,55.92
_0104_,55.9
_1131_,55.86
_2346_,55.74
_1763_,55.72
_2156_,55.72
_3592_,55.62
_2824_,55.59
_1290_,55.56
_0706_,55.33
_3629_,55.32
_3390_,55
_2155_,54.76
_2633_,54.72
_1060_,54.66
_2297_,54.64
_1146_,54.56
_0745_,54.28
_2344_,54.02
_0915_,53.965
_3259_,53.88
_3470_,53.84
_0971_,53.76
_3708_,53.74
net63,53.72
_2057_,53.66
net65,53.6
_0874_,53.44
_0076_,53.435
_0808_,53.3
_0505_,53.11
_1526_,53.06
_3298_,53.06
_0517_,52.96
_0913_,52.96
_0800_,52.72
_0828_,52.6
_3262_,52.6
_0365_,52.5
_0842_,52.32
_1366_,52.2
