net,length_um
_2139_,87.34µm
_2122_,87.22µm
net77,86.76µm
_2126_,86.72µm
_2832_,86.32µm
_2495_,86.02µm
net302,85.31µm
_2211_,85.2µm
_0501_,84.96µm
_2178_,84.795µm
_3194_,84.69µm
_1973_,84.32µm
net24,84.12µm
net759,84.12µm
net82,83.96µm
_2767_,83.8µm
net89,83.64µm
_2081_,83.24µm
_2434_,83.22µm
net234,83.14µm
_2142_,82.82µm
_2571_,82.48µm
_2106_,81.74µm
_2424_,81.74µm
_2655_,81.665µm
net473,81.53µm
net20,81.42µm
_2203_,81.18µm
_2216_,80.4µm
net789,79.82µm
net303,79.76µm
net254,79.66µm
net475,79.43µm
_2221_,79.08µm
net57,79.02µm
_2067_,79.02µm
_2157_,78.82µm
net499,78.68µm
net76,78.36µm
_2110_,78.26µm
net132,78.21µm
_2384_,78.08µm
_2270_,77.99µm
_2610_,77.86µm
net136,77.16µm
_2103_,77.02µm
net19,76.88µm
net344,76.8µm
_1868_,76.54µm
net364,76.16µm
_2790_,75.88µm
_2441_,75.7µm
_1007_,75.14µm
net271,74.89µm
_2457_,74.76µm
net446,74.76µm
net363,74.59µm
_2247_,74.52µm
net147,74.22µm
net287,74.22µm
_3146_,74.2µm
_2300_,74.16µm
_2355_,74.14µm
_0447_,74.08µm
net537,73.92µm
net46,73.76µm
_1445_,73.66µm
_0290_,73.44µm
_2214_,73.32µm
net466,73.21µm
_0358_,73.14µm
_2113_,73.12µm
net463,72.81µm
net252,72.12µm
net474,71.94µm
net470,71.91µm
_2459_,71.7µm
_1916_,71.64µm
_1895_,71.3µm
_0241_,71.25µm
_2642_,71.09µm
_0489_,70.97µm
net486,70.94µm
_1842_,70.82µm
_2327_,70.085µm
_2654_,69.92µm
net478,69.72µm
_1891_,69.7µm
_1639_,69.6µm
_2517_,69.57µm
_1967_,69.385µm
net394,69.32µm
net72,69.2µm
_1341_,68.67µm
net159,68.14µm
_2117_,67.93µm
net53,67.475µm
_1133_,67.16µm
net275,67.12µm
net160,67.1µm
_2132_,66.78µm
_2455_,66.76µm
net383,66.74µm
net674,66.6µm
net524,66.5µm
net592,65.96µm
_2986_,65.84µm
_1210_,65.66µm
_2259_,65.58µm
_1260_,65.42µm
net560,65.3µm
_1092_,65.18µm
_2582_,65.16µm
net369,65µm
_2401_,64.585µm
_0923_,64.56µm
_2251_,64.04µm
_1978_,63.91µm
_0123_,63.8µm
_1961_,63.64µm
_0187_,63.6µm
_2410_,63.5µm
_1805_,63.34µm
_2657_,63.26µm
_0810_,63.12µm
net521,63.1µm
net141,62.9µm
net476,62.74µm
net411,62.62µm
_2229_,62.6µm
net105,62.48µm
_2180_,62.12µm
_2537_,62.12µm
net791,61.92µm
net402,61.82µm
_0126_,61.63µm
net203,61.56µm
net611,61.48µm
_2090_,61.16µm
_2320_,60.935µm
net495,60.92µm
net653,60.68µm
_2490_,60.54µm
_3305_,60.52µm
_1200_,60.34µm
_2231_,60.16µm
_1742_,59.8µm
net590,59.62µm
_1914_,59.44µm
_0201_,59.4µm
_1966_,59.32µm
net361,59.06µm
_2168_,59µm
_1852_,58.935µm
_1426_,58.66µm
_3212_,58.44µm
_1968_,58.36µm
_2014_,58.3µm
net317,58.28µm
_3422_,58.25µm
net100,58.245µm
_2753_,58.2µm
_2209_,58.155µm
net576,58.12µm
_3190_,57.99µm
_3174_,57.7µm
net5,57.62µm
_2383_,57.62µm
_1209_,57.42µm
_2515_,57.295µm
_3295_,57.16µm
_2148_,57.14µm
_3169_,57.1µm
net462,57µm
net790,56.94µm
_2007_,56.92µm
net75,56.92µm
_1840_,56.78µm
net91,56.6µm
net365,56.6µm
_0228_,56.44µm
net306,56.24µm
_1559_,56.2µm
_2207_,56.11µm
net441,56.1µm
_2670_,55.94µm
net413,55.72µm
_2708_,55.66µm
_0124_,55.42µm
net68,55.34µm
net119,55.265µm
_1642_,55.2µm
net54,55.12µm
net51,55.06µm
net354,55µm
_1861_,54.9µm
_2317_,54.66µm
_1716_,54.64µm
_2218_,54.62µm
_2078_,54.48µm
_2166_,54.335µm
_1857_,54.26µm
_0117_,54.1µm
net273,54.1µm
net204,54.04µm
_3474_,53.98µm
_0439_,53.76µm
_2155_,53.6µm
net17,53.54µm
_0100_,53.4µm
_0749_,53.38µm
_2675_,53.08µm
net98,52.9µm
net248,52.73µm
_2151_,52.58µm
_1939_,52.26µm
_2784_,52.18µm
_2283_,52.14µm
_1905_,52.04µm
_1846_,52.02µm
_2096_,52.02µm
_1709_,51.98µm
_2838_,51.78µm
net629,51.66µm
_0381_,51.58µm
_1139_,51.56µm
_0994_,51.42µm
_1875_,51.16µm
_2846_,51.14µm
net485,51.14µm
_1981_,51µm
net102,51µm
net481,50.98µm
_1618_,50.96µm
_3411_,50.66µm
_0269_,50.58µm
_0235_,50.54µm
_3327_,50.52µm
net74,50.5µm
_2772_,50.44µm
_3144_,50.38µm
_3450_,50.16µm
_0167_,50.1µm
_2092_,49.97µm
_0939_,49.76µm
_2225_,49.66µm
net202,49.66µm
_2608_,49.62µm
net92,49.62µm
_1322_,49.43µm
_2302_,49.42µm
_2140_,49.4µm
_2033_,49.36µm
_2514_,49.32µm
_0065_,49.28µm
_0409_,49.2µm
_1979_,49.16µm
_3234_,49.12µm
_1154_,48.94µm
_0249_,48.9µm
net751,48.84µm
_0556_,48.72µm
_2682_,48.68µm
_2508_,48.59µm
_2210_,48.54µm
_2185_,48.52µm
net95,48.46µm
_2886_,48.18µm
_1988_,48.16µm
_0317_,48.1µm
_1990_,48.1µm
net745,48µm
_3100_,47.98µm
_3134_,47.7µm
_2338_,47.52µm
_0840_,47.46µm
_0205_,47.28µm
net128,47.2µm
_1652_,46.74µm
net73,46.54µm
_2008_,46.52µm
_1628_,46.24µm
net748,46.15µm
_0287_,46.12µm
_3477_,46.06µm
_1266_,45.98µm
_0035_,45.9µm
_2408_,45.84µm
net397,45.8µm
_0509_,45.74µm
_3231_,45.74µm
net346,45.72µm
_0127_,45.68µm
_3423_,45.66µm
_2208_,45.6µm
_2528_,45.56µm
_2837_,45.5µm
_1533_,45.42µm
_2510_,45.26µm
_0515_,45.14µm
_3417_,45.14µm
net338,45.06µm
_2269_,45.02µm
_2454_,45µm
_2945_,45µm
_2476_,44.68µm
_2222_,44.54µm
_2643_,44.52µm
net467,44.48µm
_0551_,44.36µm
_1064_,44.36µm
net654,44.3µm
_2911_,44.15µm
net245,44.145µm
_1845_,44.09µm
_2662_,44.02µm
_3431_,43.92µm
_3391_,43.86µm
_3326_,43.84µm
_0941_,43.8µm
_0066_,43.775µm
_3179_,43.595µm
_1908_,43.52µm
_0651_,43.44µm
_1247_,43.38µm
_1359_,43.38µm
_3376_,43.315µm
_2789_,43.22µm
net566,43.12µm
_1302_,43.04µm
_0999_,42.88µm
_3348_,42.8µm
_2736_,42.74µm
net656,42.7µm
_0558_,42.68µm
net356,42.68µm
_2893_,42.62µm
_1888_,42.58µm
_1300_,42.555µm
_0614_,42.42µm
_2885_,42.28µm
_3151_,42.26µm
_1855_,42.1µm
_0095_,41.96µm
net157,41.94µm
net167,41.88µm
_3296_,41.75µm
net1,41.74µm
net783,41.7µm
net417,41.68µm
_0554_,41.64µm
_2867_,41.5µm
net419,41.42µm
_2079_,41.34µm
net666,41.28µm
_2836_,41.26µm
_3136_,41.18µm
_3350_,41.14µm
_0225_,41.13µm
_2275_,41.12µm
_1632_,41.08µm
_2839_,41.08µm
_2389_,41.06µm
_0859_,41.04µm
_0897_,41.04µm
_2323_,41.04µm
_2698_,40.96µm
_0517_,40.94µm
_0192_,40.855µm
_1348_,40.73µm
_2167_,40.62µm
_2442_,40.52µm
_0499_,40.38µm
net99,40.38µm
_3187_,40.26µm
_2806_,40.14µm
net488,40.06µm
_0275_,40.04µm
net742,39.86µm
_0331_,39.82µm
_2760_,39.78µm
_1853_,39.69µm
_0016_,39.52µm
_1444_,39.5µm
_3276_,39.5µm
_2040_,39.44µm
_3374_,39.38µm
net158,39.38µm
_2679_,39.24µm
net497,39.16µm
_2851_,39.115µm
net679,39.08µm
_2252_,38.92µm
net651,38.92µm
_1081_,38.9µm
_1328_,38.84µm
_2738_,38.82µm
net502,38.76µm
_0964_,38.7µm
_2316_,38.7µm
_2387_,38.56µm
_0824_,38.4µm
_2895_,38.4µm
_2549_,38.08µm
_2406_,38µm
_0002_,37.92µm
_1829_,37.86µm
_3213_,37.82µm
_2717_,37.68µm
net56,37.66µm
_1276_,37.66µm
_0364_,37.64µm
net94,37.64µm
_0921_,37.62µm
net96,37.6µm
_2244_,37.48µm
_0129_,37.42µm
_0069_,37.4µm
net250,37.32µm
net770,37.24µm
_2439_,37.205µm
_1256_,37.2µm
_2062_,37.18µm
B[1],37.13µm
_0396_,37.08µm
_0510_,37.02µm
_3050_,37.02µm
_3359_,36.96µm
net276,36.94µm
_3087_,36.9µm
_0327_,36.86µm
_2230_,36.8µm
_2220_,36.74µm
_2330_,36.72µm
_0398_,36.69µm
_2689_,36.65µm
net765,36.64µm
_1936_,36.6µm
_0347_,36.56µm
_2089_,36.44µm
_0362_,36.36µm
_3238_,36.36µm
_0794_,36.32µm
net267,36.27µm
net321,36.26µm
_0957_,36.22µm
_1376_,36.2µm
_0772_,36.1µm
_0873_,36.08µm
_1975_,35.98µm
_0512_,35.95µm
_2318_,35.91µm
A[1],35.89µm
_2193_,35.86µm
_3147_,35.74µm
_2109_,35.72µm
_2150_,35.72µm
_2866_,35.7µm
_3189_,35.68µm
_1912_,35.64µm
_0087_,35.6µm
_1769_,35.54µm
_3208_,35.52µm
_2307_,35.4µm
_0067_,35.38µm
_0416_,35.38µm
_0976_,35.38µm
net707,35.36µm
A[2],35.25µm
_1893_,35.2µm
_2629_,35.14µm
net477,35.04µm
_1576_,35.02µm
_0437_,35µm
_0572_,34.92µm
_3446_,34.92µm
net615,34.92µm
_0329_,34.875µm
net256,34.82µm
net763,34.81µm
_0203_,34.8µm
_0418_,34.8µm
_1390_,34.755µm
_0705_,34.74µm
_0549_,34.72µm
_3323_,34.72µm
_1606_,34.7µm
_1605_,34.64µm
_1258_,34.54µm
_0116_,34.48µm
_0669_,34.48µm
_2010_,34.48µm
_0385_,34.4µm
net97,34.3µm
_1315_,34.28µm
_3392_,34.28µm
_0064_,34.26µm
_1231_,34.26µm
_2660_,34.26µm
_3022_,34.22µm
_1194_,34.14µm
_3133_,34.14µm
_3265_,34.14µm
_2721_,34.08µm
_1446_,34.06µm
_0952_,33.94µm
_1854_,33.82µm
_1994_,33.82µm
_0522_,33.8µm
_0747_,33.78µm
_2493_,33.745µm
_0466_,33.74µm
_1869_,33.74µm
_3301_,33.735µm
_0892_,33.7µm
net93,33.68µm
net761,33.66µm
A[0],33.65µm
_1617_,33.64µm
_1953_,33.64µm
_1309_,33.6µm
_2357_,33.595µm
_0075_,33.52µm
_1679_,33.52µm
_1143_,33.42µm
_1718_,33.34µm
_2901_,33.34µm
_0962_,33.24µm
_0182_,33.12µm
_1248_,33.12µm
_0089_,33.02µm
_2130_,32.96µm
_0434_,32.9µm
_0193_,32.88µm
_0244_,32.88µm
net227,32.7µm
net724,32.7µm
_0013_,32.66µm
_1298_,32.64µm
_2812_,32.6µm
_0816_,32.58µm
_0057_,32.54µm
_1629_,32.54µm
_2199_,32.5µm
_1619_,32.46µm
_1394_,32.455µm
_2314_,32.44µm
_1985_,32.32µm
_1892_,32.3µm
_2834_,32.22µm
_3218_,32.2µm
_0503_,32.18µm
_1196_,32.075µm
net609,32.06µm
_0639_,32.04µm
_1441_,32.04µm
_1572_,31.92µm
_2297_,31.9µm
_0685_,31.88µm
_0649_,31.86µm
_2159_,31.78µm
_1630_,31.68µm
_1950_,31.68µm
_0465_,31.66µm
_2273_,31.64µm
net788,31.64µm
_1574_,31.62µm
_2101_,31.58µm
_1217_,31.54µm
A[3],31.49µm
_3183_,31.46µm
_0586_,31.45µm
_3056_,31.44µm
_3357_,31.42µm
_0430_,31.415µm
_0894_,31.34µm
_2156_,31.34µm
_1859_,31.32µm
_3312_,31.18µm
_0401_,31.04µm
_1410_,31.025µm
_2611_,31µm
_1075_,30.96µm
_2470_,30.96µm
_0516_,30.9µm
_0701_,30.9µm
_3084_,30.84µm
_1977_,30.8µm
_1188_,30.76µm
_1443_,30.72µm
net310,30.7µm
_0164_,30.68µm
_0432_,30.675µm
_1386_,30.67µm
_1128_,30.64µm
_0566_,30.56µm
_2584_,30.5µm
_1661_,30.48µm
_3421_,30.46µm
_1448_,30.42µm
net465,30.4µm
_0975_,30.32µm
_0871_,30.31µm
_2833_,30.28µm
_2301_,30.26µm
_0553_,30.24µm
_2064_,30.19µm
_3355_,30.18µm
_0525_,30.175µm
net569,30.16µm
_3239_,30.12µm
_0474_,29.98µm
A[4],29.97µm
_2688_,29.96µm
_2141_,29.955µm
_0833_,29.94µm
net189,29.94µm
_0737_,29.92µm
_1449_,29.89µm
_1072_,29.88µm
net239,29.88µm
_0076_,29.82µm
_0467_,29.8µm
_0197_,29.76µm
net702,29.76µm
_1152_,29.74µm
_0540_,29.7µm
_2324_,29.68µm
_2460_,29.64µm
_0004_,29.62µm
_3154_,29.62µm
_3170_,29.62µm
_0361_,29.6µm
_2000_,29.6µm
_2215_,29.58µm
_2644_,29.56µm
net719,29.5µm
_0531_,29.48µm
_2590_,29.44µm
_2397_,29.28µm
_2028_,29.26µm
_1174_,29.22µm
_1418_,29.2µm
_3383_,29.18µm
_0135_,29.135µm
_2165_,29.04µm
_1920_,28.98µm
_1489_,28.86µm
_0768_,28.71µm
A[5],28.65µm
net757,28.6µm
_0145_,28.58µm
_3257_,28.58µm
_3106_,28.56µm
_3243_,28.54µm
_0172_,28.46µm
_1929_,28.42µm
_2234_,28.405µm
_0384_,28.36µm
_0479_,28.36µm
_0533_,28.36µm
_1041_,28.36µm
_1301_,28.28µm
_3180_,28.2µm
net469,28.2µm
_0780_,28.16µm
_1192_,28.16µm
_1334_,28.14µm
_0697_,28.12µm
_1653_,28.095µm
_0615_,28.02µm
_1748_,27.9µm
_0726_,27.86µm
_0799_,27.86µm
_2047_,27.82µm
_0629_,27.81µm
_2175_,27.81µm
_1646_,27.8µm
_0428_,27.72µm
_2924_,27.64µm
_1369_,27.62µm
_0584_,27.585µm
_2819_,27.58µm
_0745_,27.56µm
_0712_,27.54µm
_1182_,27.52µm
_2548_,27.52µm
_0900_,27.44µm
_0288_,27.36µm
net182,27.32µm
_0559_,27.28µm
_1277_,27.28µm
_3101_,27.28µm
_0920_,27.22µm
_1746_,27.1µm
_1568_,27µm
_1872_,26.9µm
_0052_,26.86µm
_1850_,26.7µm
_2425_,26.68µm
_0713_,26.64µm
net713,26.64µm
net347,26.62µm
net471,26.61µm
_2415_,26.56µm
_0600_,26.54µm
_1018_,26.52µm
_1851_,26.52µm
_2814_,26.52µm
_3389_,26.52µm
_0472_,26.5µm
_0365_,26.48µm
_1140_,26.48µm
_0493_,26.455µm
_0580_,26.42µm
_1519_,26.36µm
_1573_,26.36µm
_2280_,26.36µm
_2706_,26.36µm
_2667_,26.28µm
B[2],26.27µm
net551,26.175µm
_0699_,26.16µm
_0795_,26.16µm
_0878_,26.16µm
_1327_,26.14µm
_0518_,26.08µm
_2022_,26.08µm
zero,26.055µm
_1933_,25.98µm
_2418_,25.88µm
_3471_,25.88µm
_2775_,25.86µm
net308,25.78µm
net404,25.68µm
_1644_,25.64µm
_2599_,25.61µm
_0468_,25.6µm
net436,25.6µm
_2050_,25.58µm
_2915_,25.58µm
net243,25.58µm
_0782_,25.56µm
_0677_,25.54µm
_1452_,25.52µm
_0274_,25.46µm
_0610_,25.44µm
_0826_,25.4µm
_3370_,25.33µm
net289,25.32µm
net596,25.275µm
_2240_,25.24µm
_2025_,25.22µm
_2969_,25.22µm
_2060_,25.21µm
_0372_,25.2µm
_0537_,25.2µm
_1612_,25.2µm
net589,25.18µm
_1186_,25.16µm
_1478_,25.16µm
_1945_,25.16µm
_1108_,25.12µm
_0165_,25.11µm
net460,24.99µm
_0807_,24.92µm
_2659_,24.8µm
_3236_,24.8µm
_0482_,24.72µm
_0645_,24.72µm
_2572_,24.72µm
_2855_,24.72µm
_1688_,24.63µm
_1447_,24.615µm
_0967_,24.6µm
_1590_,24.6µm
_2469_,24.6µm
_0101_,24.58µm
_0719_,24.58µm
_2546_,24.57µm
_2809_,24.54µm
_2403_,24.52µm
net336,24.51µm
_1765_,24.48µm
_0968_,24.46µm
_1565_,24.42µm
_1824_,24.42µm
_3095_,24.4µm
_1898_,24.38µm
_0766_,24.36µm
_2037_,24.3µm
_3318_,24.3µm
_2596_,24.27µm
_1741_,24.26µm
_3244_,24.26µm
_1351_,24.24µm
result[28],24.235µm
_1889_,24.22µm
_3241_,24.14µm
net725,24.14µm
_2276_,24.09µm
_0018_,24.06µm
_0420_,24.04µm
_0809_,23.98µm
_3021_,23.94µm
_3414_,23.94µm
net65,23.94µm
_1610_,23.9µm
_2031_,23.86µm
_2694_,23.84µm
_3381_,23.84µm
_0694_,23.8µm
_0113_,23.76µm
_1384_,23.72µm
net349,23.68µm
_3310_,23.6µm
_0917_,23.58µm
_1477_,23.565µm
_0769_,23.56µm
_1461_,23.56µm
_1592_,23.56µm
_2474_,23.56µm
_3069_,23.54µm
_2426_,23.52µm
_3188_,23.5µm
_1050_,23.48µm
_2381_,23.46µm
_2991_,23.45µm
_2538_,23.42µm
_1408_,23.38µm
_0792_,23.36µm
_0652_,23.34µm
_2366_,23.3µm
net760,23.3µm
_0893_,23.28µm
_1021_,23.24µm
_1436_,23.2µm
_1739_,23.18µm
_0988_,23.14µm
_0262_,23.12µm
_0867_,23.1µm
_1193_,23.08µm
_1280_,23.04µm
result[30],23.035µm
_1640_,23.02µm
_1959_,23.02µm
_1689_,23µm
B[3],22.95µm
_3367_,22.94µm
_2171_,22.88µm
