net,length_um
net152,466.55µm
net142,423.55µm
net127,421.975µm
net584,418.37µm
net602,406.98µm
net494,400.97µm
net8,400.59µm
net201,393.11µm
net33,384.08µm
net12,382.84µm
net571,370.26µm
net600,358.76µm
net520,356.88µm
net331,355.93µm
net6,353.19µm
net144,351.98µm
net544,347µm
net700,346.17µm
net29,344.07µm
net38,343.385µm
net416,337.1µm
net660,336.89µm
net741,336.6µm
net183,332.84µm
net424,331.495µm
net343,330.52µm
net689,329.98µm
net251,327.265µm
net231,320.82µm
_0009_,314.14µm
net135,310.47µm
net328,309.56µm
net556,309.51µm
net507,307.76µm
_0040_,306.98µm
net41,306.37µm
net190,305.34µm
net538,304.41µm
net27,303µm
net382,302.42µm
net30,302.31µm
net244,301.04µm
net59,299.22µm
net45,296.97µm
net606,294.4µm
net531,294.12µm
net614,293.135µm
net585,290.45µm
net146,289.78µm
net386,288.77µm
net514,287.95µm
net376,285.91µm
net26,279.8µm
_2098_,278.71µm
net32,276.75µm
net371,271.29µm
net414,270.44µm
net608,270.43µm
net561,269.56µm
net675,269.56µm
_2146_,266.05µm
net525,264.99µm
net124,264.44µm
net577,264.43µm
net345,264.32µm
net594,263.48µm
net255,263.19µm
net595,262.14µm
net574,261.37µm
net662,260.43µm
_2183_,260.4µm
net621,257.72µm
_0260_,256.13µm
net432,256.12µm
net324,254.86µm
net63,254.78µm
net316,253.985µm
net396,253.32µm
net126,252.365µm
net262,251.8µm
net657,251.08µm
net440,250.83µm
net591,250.06µm
net197,248.98µm
net578,247.63µm
net335,246.56µm
net62,245.96µm
net395,244.325µm
net650,244.07µm
net453,243.83µm
net484,242.86µm
net16,241.155µm
net138,240.44µm
net61,240.22µm
net568,240.2µm
net565,238.47µm
net721,237.36µm
net580,237.07µm
net210,236.76µm
net330,236.08µm
net337,235.955µm
net407,235.92µm
net550,235.23µm
net3,234.87µm
net10,234.28µm
net185,234.175µm
net121,233.365µm
net400,233.22µm
net278,233.17µm
net140,232.85µm
net326,232.36µm
net686,232µm
net373,231.54µm
net505,229.51µm
net23,229.31µm
net64,229.29µm
net552,228.91µm
_0421_,226.46µm
net156,225.04µm
net199,224.98µm
net718,224.665µm
net604,224.48µm
net667,223.65µm
net339,222.5µm
net315,221.015µm
_3026_,219.52µm
net31,218.97µm
net224,218.915µm
_1239_,217.995µm
net148,217.48µm
net162,217.33µm
net14,217.1µm
net405,216.82µm
net498,216.4µm
net554,215.21µm
_1228_,215.02µm
net131,214.97µm
_2003_,214.92µm
net122,214.07µm
_2568_,213.74µm
net173,213.24µm
net447,213.24µm
_0633_,212.94µm
net206,212.565µm
net259,212.36µm
net176,211.52µm
net230,211.455µm
net652,210.875µm
net523,210.8µm
net40,210.62µm
net134,210.26µm
net597,210.15µm
net34,209.79µm
net774,208.46µm
net449,208.18µm
net242,208.16µm
net634,208.15µm
net13,207.91µm
net161,207.73µm
net626,207.72µm
net646,207.08µm
net610,206.52µm
net181,206.25µm
net681,205.56µm
net548,204.37µm
net87,203.98µm
_0827_,203.4µm
net492,203.165µm
net313,202.98µm
net154,202.65µm
net283,202.36µm
net168,202.05µm
net379,201.96µm
net49,201.71µm
net542,201.6µm
net684,201.27µm
net603,200.24µm
net444,200.18µm
net15,199.65µm
net214,199.51µm
net170,199.16µm
net688,198.93µm
net555,198.71µm
net534,198.67µm
net42,197.8µm
net581,197.76µm
net558,197.46µm
net528,197.085µm
net366,196.45µm
net370,195.6µm
net359,195.33µm
net145,194.57µm
net387,193.09µm
_1042_,192.93µm
net174,192.59µm
net553,192.24µm
net518,191.26µm
net527,191.14µm
net247,190.03µm
net546,189.06µm
net265,188.21µm
net294,187.93µm
net137,186.68µm
net637,186.56µm
net285,186.315µm
net18,186.22µm
net280,185.96µm
net682,185.7µm
net35,185.53µm
net570,185.435µm
net794,185.24µm
net207,184.22µm
net334,183.18µm
_2145_,183.04µm
net28,183.02µm
net196,182.66µm
net504,182.52µm
net516,182.33µm
net311,182.22µm
net43,181.6µm
net48,181.37µm
net644,180.82µm
net39,179.53µm
net166,179.34µm
net503,178.25µm
net292,178.2µm
net260,178.18µm
net401,177.31µm
net491,177.3µm
net123,177.18µm
net573,177.08µm
net468,176.78µm
net628,176.53µm
net236,176.4µm
net286,176.16µm
net246,175.85µm
net341,175.78µm
net659,175.52µm
net309,175.42µm
net284,175.25µm
net350,175.04µm
net319,174.6µm
net218,174.55µm
net685,174.255µm
net541,174.19µm
net445,172.705µm
_1557_,170.245µm
net4,170.18µm
net422,169.94µm
net36,169.18µm
net540,169.12µm
net268,167.84µm
_2552_,167.58µm
net358,167.52µm
net487,166.84µm
net374,166.675µm
net37,166.58µm
net778,166.55µm
net71,166.28µm
net184,166.16µm
_2223_,166.04µm
net599,165.12µm
net572,165.095µm
_2153_,164.87µm
net393,164.84µm
net118,164.72µm
net567,164.35µm
net399,164.32µm
net81,163.82µm
net84,163.8µm
net125,163.66µm
_2331_,163.365µm
net464,163.09µm
net351,163.08µm
net9,162.53µm
net418,162.17µm
net545,161.99µm
_2286_,161.19µm
net743,160.78µm
net579,160.675µm
net139,160.615µm
_0282_,160.35µm
net510,160.18µm
net388,159.53µm
net348,158.46µm
net427,158.4µm
net150,157.89µm
_2187_,157.87µm
net194,157.68µm
net522,156.92µm
_2172_,156.91µm
_1982_,156.5µm
net624,156.36µm
net269,156.025µm
net130,155.845µm
net7,154.9µm
_0357_,154.66µm
net677,154.66µm
net618,154.26µm
net649,154.1µm
net655,153.14µm
net58,152.87µm
net217,152.6µm
net451,152.4µm
net623,152.07µm
net208,151.5µm
net496,151.135µm
net129,150.96µm
net620,150.84µm
net532,150.78µm
net2,149.84µm
net670,149.61µm
_2358_,148.945µm
net587,147.52µm
net220,147.35µm
net327,147.135µm
net489,146.54µm
net355,146.36µm
net104,146.3µm
_1944_,145.56µm
net392,145.36µm
net450,145.34µm
net117,145.23µm
net332,145µm
net228,144.635µm
net562,144.22µm
_2143_,144.08µm
net55,143.17µm
net261,142.12µm
net187,142.04µm
net249,140.91µm
net205,140.9µm
net215,140.64µm
net133,140.48µm
net421,139.98µm
net582,139.98µm
net143,139.72µm
net482,139.58µm
net296,139.55µm
_2512_,139.34µm
net318,138.56µm
net668,138.51µm
_1926_,138.44µm
net403,138.2µm
net410,138.14µm
net443,137.78µm
net172,137.09µm
net272,137.04µm
net86,136.48µm
net529,135.32µm
_2477_,135.26µm
net223,134.64µm
_1847_,134.49µm
net433,134.44µm
net300,134.395µm
net368,134.24µm
_2686_,134.2µm
_1715_,132.92µm
net60,132.67µm
net425,132.48µm
_2779_,132.18µm
net298,132.1µm
_0227_,131.48µm
net274,130.835µm
net665,130.505µm
net625,129.27µm
net434,128.47µm
net79,128.36µm
_2351_,128.34µm
net44,128.19µm
_2149_,127.65µm
net377,127.62µm
net605,127.54µm
net638,127.46µm
_2728_,127.14µm
net177,127.06µm
net559,127.03µm
_1948_,126.5µm
_2691_,126.14µm
net437,125.78µm
_2226_,125.74µm
net536,125.74µm
net11,125.6µm
net323,125.52µm
net240,125.42µm
net209,125.06µm
net329,124.86µm
net694,124.62µm
net238,124.28µm
net282,124.215µm
net420,124.06µm
net680,123.89µm
net179,123.5µm
net297,123µm
net293,122.92µm
net270,122.24µm
net575,122.2µm
net612,121.94µm
net305,121.86µm
net266,121.715µm
_2191_,121.69µm
_2386_,121.605µm
net264,121.325µm
net378,121.3µm
_2102_,121.1µm
_1848_,120.74µm
net253,120.69µm
net673,120.5µm
net513,120.18µm
_1986_,120.1µm
_3426_,120.02µm
_2299_,119.68µm
net322,119.66µm
net263,119.53µm
net398,119.405µm
_2232_,119.34µm
_2235_,119.03µm
net426,119.02µm
net472,119µm
net452,118.86µm
net257,118.83µm
_2815_,118.74µm
net301,118.19µm
net80,117.82µm
_2692_,117.37µm
net588,117.35µm
net622,117.34µm
net372,116.975µm
net769,116.88µm
net627,116.76µm
net258,116.74µm
net279,116.6µm
_2723_,116.37µm
net22,116.3µm
net617,115.99µm
net155,115.295µm
net439,115.12µm
net455,115.02µm
_2405_,114.735µm
_2797_,114.64µm
net90,114.58µm
net52,114.305µm
net543,114.26µm
_1097_,114.16µm
net299,113.86µm
_2161_,113.51µm
net607,113.4µm
net771,113.29µm
net277,113.275µm
_2623_,112.18µm
net164,111.95µm
net180,111.94µm
net357,111.69µm
net429,111.035µm
_2200_,110.8µm
net448,110.79µm
net175,110.31µm
net442,110.2µm
net459,109.295µm
net360,109.18µm
_2224_,109.04µm
net519,108.96µm
_2420_,108.92µm
net431,108.34µm
net671,108.04µm
net457,107.86µm
net47,107.62µm
net193,107.62µm
net563,107.6µm
net461,106.94µm
_2750_,106.92µm
net506,106.86µm
net734,106.82µm
net151,106.8µm
net307,106.58µm
net188,106.04µm
_2158_,105.82µm
_2567_,105.82µm
net149,105.54µm
net191,104.675µm
net78,104.46µm
net120,104.295µm
net385,104.16µm
net632,103.25µm
net412,103.08µm
net454,102.88µm
net509,102.48µm
net639,102.26µm
net391,102.235µm
net409,102.08µm
_2730_,101.57µm
_1286_,100.88µm
net512,100.86µm
net616,100.8µm
_2433_,100.52µm
_2129_,100.365µm
net212,100.04µm
net222,100.015µm
net500,99.44µm
net288,99.12µm
net353,98.74µm
net613,98.61µm
net101,98.54µm
net380,98.28µm
net88,97.6µm
net663,97.52µm
net764,97.36µm
net593,97.07µm
net549,96.74µm
_2182_,96.22µm
_2710_,96.22µm
_2808_,95.71µm
_2239_,95.34µm
_0216_,95.22µm
net367,94.74µm
net304,94.4µm
net501,94.1µm
net225,93.665µm
net226,93.28µm
_2536_,93.04µm
net636,92.94µm
net664,92.91µm
net281,92.6µm
net642,91.52µm
_2068_,91.24µm
net314,91.065µm
_2125_,91µm
net458,90.82µm
_1902_,90.815µm
net290,90.6µm
net479,89.6µm
_2312_,89.56µm
net631,89.42µm
_0238_,89.26µm
net586,89.24µm
net384,89.115µm
net235,88.38µm
_2326_,87.46µm
_1996_,87.44µm
